UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
100654,1,5020,2268,2752
100663,1,18568,7309,11259
100690,1,631,264,367
100706,1,7376,4136,3240
100724,1,6075,2399,3676
100751,1,34752,15763,18989
100760,1,1906,738,1168
100812,1,3170,1107,2063
100830,1,5084,1884,3200
100858,1,24864,12628,12236
100937,1,1188,643,545
101028,1,1837,680,1157
101073,1,600,349,251
101116,1,682,177,505
101143,1,2333,1336,997
111461,1,18508,9658,8850
111513,1,167,4,163
111638,1,606,128,478
111708,1,267,224,43
111717,1,345,173,172
111726,1,234,151,83
111744,1,103,100,3
111762,1,88,45,43
111771,1,104,67,37
111799,1,65,18,47
111887,1,21404,9717,11687
111896,1,4523,1631,2892
111920,1,13142,6108,7034
111939,1,19211,8135,11076
111948,1,7892,3269,4623
111966,1,515,167,348
112075,1,4046,1730,2316
112084,1,914,429,485
112127,1,79,32,47
112172,1,12920,6026,6894
112181,1,96,4,92
112190,1,26706,12917,13789
112251,1,2204,1036,1168
112260,1,1328,686,642
112288,1,354,44,310
112367,1,608,53,555
112385,1,10378,5709,4669
112394,1,472,354,118
112446,1,833,688,145
112455,1,40,3,37
112525,1,3748,1440,2308
112561,1,2626,1153,1473
112570,1,314,210,104
112686,1,7693,2762,4931
112783,1,268,120,148
112826,1,6865,2853,4012
113096,1,13949,6173,7776
101161,1,4362,1593,2769
101189,1,3193,1203,1990
101240,1,5797,2364,3433
101277,1,89,1,88
101286,1,4686,1590,3096
101295,1,5281,1998,3283
101301,1,1745,590,1155
101365,1,320,100,220
101435,1,1110,553,557
101453,1,94,81,13
101462,1,1383,642,741
101471,1,513,385,128
101480,1,8693,3632,5061
101499,1,1091,460,631
101505,1,8542,3328,5214
101514,1,11186,4886,6300
101541,1,347,16,331
101569,1,3028,1233,1795
101587,1,4427,1219,3208
101602,1,1570,606,964
101648,1,418,340,78
101675,1,1666,874,792
101693,1,1610,513,1097
101709,1,3062,1003,2059
101736,1,3854,1667,2187
101879,1,6931,2915,4016
101897,1,2834,1113,1721
101912,1,1903,807,1096
101949,1,1349,522,827
101958,1,102,4,98
101994,1,517,196,321
102030,1,3896,1570,2326
102049,1,4833,1826,3007
102058,1,611,336,275
102067,1,5068,2209,2859
102076,1,2295,907,1388
102094,1,15065,5806,9259
102234,1,1422,563,859
102261,1,161,94,67
102270,1,863,443,420
102298,1,932,440,492
102313,1,1351,673,678
102368,1,20573,7506,13067
102377,1,3118,1258,1860
102395,1,347,241,106
102429,1,3490,1265,2225
102553,1,17363,7086,10277
102580,1,42,22,20
102614,1,9166,3892,5274
102632,1,2996,1040,1956
102669,1,669,235,434
102711,1,1347,1032,315
102845,1,2191,611,1580
103361,1,471,182,289
103501,1,335,60,275
103644,1,2761,742,2019
103723,1,254,189,65
103732,1,43,8,35
103741,1,175,10,165
103778,1,1022,722,300
103787,1,79,34,45
103811,1,278,250,28
103893,1,676,111,565
103909,1,691,128,563
103927,1,440,93,347
103945,1,209,53,156
103954,1,47,2,45
103963,1,505,481,24
104090,1,844,158,686
104151,1,48702,27532,21170
104160,1,8000,3459,4541
104179,1,40621,19520,21101
104188,1,221,104,117
104294,1,226,20,206
104346,1,6445,2377,4068
104364,1,684,288,396
104391,1,83,8,75
104425,1,4453,2085,2368
104434,1,53,1,52
104443,1,113,15,98
104504,1,143,38,105
104568,1,273,10,263
104577,1,6602,2945,3657
104586,1,1921,1517,404
104665,1,10,7,3
104708,1,20872,9673,11199
104717,1,55497,13704,41793
104805,1,2238,429,1809
104911,1,210,11,199
105118,1,93,21,72
105145,1,6440,3180,3260
105154,1,23678,11519,12159
105163,1,409,353,56
105172,1,498,428,70
105206,1,5227,1894,3333
105215,1,2049,1948,101
105297,1,1466,467,999
105330,1,26594,10799,15795
105349,1,3233,1284,1949
105367,1,653,178,475
105428,1,12676,4965,7711
105482,1,87,28,59
105516,1,4480,1991,2489
105525,1,30082,14119,15963
105534,1,1726,441,1285
105543,1,930,165,765
105589,1,943,334,609
105659,1,621,609,12
105668,1,21472,8163,13309
105677,1,39,38,1
105701,1,64,2,62
105747,1,10313,4803,5510
105792,1,4718,1868,2850
105899,1,635,317,318
105987,1,284,132,152
106041,1,2337,2267,70
106102,1,2042,771,1271
106111,1,172,15,157
106148,1,8197,3582,4615
106245,1,12377,5029,7348
106263,1,2867,993,1874
106281,1,32,8,24
